,awc_id,awc_cat_name
0,0,Oscar
1,1,Primetime Emmy
2,2,BAFTA Film Award
3,3,AACTA International Award
4,4,Movies for Grownups Award
5,5,Saturn Award
6,6,EDA Award
7,7,EDA Special Mention Award
8,8,American Comedy Award
9,9,Life Achievement Award
10,10,AFCA Award
11,11,ACCA
12,12,Blockbuster Entertainment Award
13,13,Film Excellence Award
14,14,BSFC Award
15,15,Critics Choice Award
16,16,BFS Award
17,17,Golden Camera
18,18,CFCA Award
19,19,CIC Award
20,20,Chlotrudis Award
21,21,CinEuphoria
22,22,COFCA Award
23,23,CCA Super Award
24,24,Critics' Choice TV Award
25,25,DFWFCA Award
26,26,David
27,27,Special David
28,28,DFCS Award
29,29,DGA Award
30,30,Jury Award
31,31,Career Achievement Award
32,32,Chainsaw Award
33,33,Golden Carp Film Award - International
34,34,Golden Train Award
35,35,Audience Award
36,36,Truer Than Fiction Award
37,37,Gala Tribute
38,38,Dorian Award
39,39,GAFCA Award
40,40,Gold Derby Award
41,41,Gold Derby TV Award
42,42,Golden Apple
43,43,Golden Camera for Lifetime Achievement
44,44,Golden Globe
45,45,Cecil B. DeMille Award
46,46,Golden Schmoes
47,47,Lifetime Achievement Award
48,48,Grammy
49,49,GWNYFCA Award
50,50,HFCS Award
51,51,Hollywood Film Award
52,52,Huading Award
53,53,IFJA Award
54,54,ICP Award
55,55,ICS Award
56,56,IOMA
57,57,KCFCC Award
58,58,Best Actor
59,59,LEJA Award
60,60,ALFS Award
61,61,LAFCA Award
62,62,MTV Movie Award
63,63,MCFCA Award
64,64,Icon Award
65,65,NBR Award
66,66,NSFC Award
67,67,NMFC Award
68,68,NYFCC Award
69,69,NDFS Award
70,70,NTFCA Award
71,71,Odyssey Award
72,72,OFTA Film Award
73,73,OFTA Television Award
74,74,OFTA Film Hall of Fame
75,75,OFCS Award
76,76,People's Choice Award
77,77,Razzie Award
78,78,SDFCS Award
79,79,SFBAFCC Award
80,80,Donostia Lifetime Achievement Award
81,81,Prize San Sebastián
82,82,Satellite Award
83,83,Golden Satellite Award
84,84,Actor
85,85,SLFCA Award
86,86,Teen Choice Award
87,87,TCA Award
88,88,Kennedy Center Honors
89,89,Queer Lion
90,90,Jaeger-LeCoultre Glory to the Filmmaker Award
91,91,Career Golden Lion
92,92,Festival Prize
93,93,WAFCA Award
94,94,Yoga Award
95,95,BAFTA Games Award
96,96,Felix
97,97,Maverick Tribute Award
98,98,Empire Award
99,99,Robert Altman Award
100,100,Independent Spirit Award
101,101,FFCC Award
102,102,Gotham Independent Film Award
103,103,IGN Award
104,104,Jupiter Award
105,105,Sierra Award
106,106,Special Achievement Award
107,107,Golden Nymph
108,108,National Film Award
109,109,NAVGTR Award
110,110,Sonny Bono Visionary Award
111,111,PGA Award
112,112,PFCS Award
113,113,Golden Aries
114,114,Peter J. Owens Award
115,115,Golden Space Needle Award
116,116,Special Award
117,117,STFC Award
118,118,SEFCA Award
119,119,Tribute to Independent Vision Award
120,120,Webby Award
121,121,TFCA Award
122,122,TV Guide Award
123,123,Star on the Walk of Fame
124,124,WFCC Award
125,125,Role Model Award
126,126,Black Film Award
127,127,AFI Award
128,128,AAFCA Award
129,129,All Def Movie Award
130,130,Board of the Governors Award
131,131,Britannia Award
132,132,Silver Berlin Bear
133,133,BET Award
134,134,BFCC Award
135,135,Black Movie Award
136,136,Black Reel
137,137,Freedom Award
138,138,CIFCC Award
139,139,Christopher Award
140,140,DFCC
141,141,Image Award
142,142,Entertainer of the Year Award
143,143,IFC Award
144,144,IFTA Award
145,145,Best of the Fest
146,146,Lone Star Film & Television Award
147,147,Grace Award
148,148,MTV TRL Award
149,149,National Film and Television Award
150,150,NCFCA Award
151,151,OFCC Award
152,152,Stanley Kramer Award
153,153,Showmanship Award
154,154,SFFCC Award
155,155,Modern Master Award
156,156,Scream Award
157,157,SFCS Award
158,158,ShoWest Award
159,159,The BAM Award
160,160,VFCC Award
161,161,VVFP Award
162,162,Humanitarian Award
163,163,BEFTTA Award
164,164,Golden Berlin Bear
165,165,Capri Ensemble Cast Award
166,166,Fotogramas de Plata
167,167,Excellence in Media Award
168,168,Man of the Year
169,169,HCA Award
