,mov_href,mov_title,mov_year,mov_type,mov_rating
0,tt1371129,King Lear,,0,
1,tt15384508,Sniff,2022.0,0,
2,tt11214590,House of Gucci,2021.0,0,7.0
3,tt7050946,American Traitor: The Trial of Axis Sally,2021.0,0,5.6
4,tt7456722,Hunters,2020.0,1,7.2
5,tt1302006,The Irishman,2019.0,0,7.8
6,tt7131622,Once Upon a Time... In Hollywood,2019.0,0,7.6
7,tt2388986,Paterno,2018.0,2,6.5
8,tt3011960,Hangman,2017.0,0,5.3
9,tt5126922,The Pirates of Somalia,2017.0,0,6.8
10,tt3658772,Misconduct,2016.0,0,5.3
11,tt1772288,Danny Collins,2015.0,0,7.0
12,tt2893490,Manglehorn,2014.0,0,5.6
13,tt1568343,The Humbling,2014.0,0,5.6
14,tt3112900,Salomé,2013.0,0,6.4
15,tt1745862,Phil Spector,2013.0,2,6.2
16,tt1859476,We Are Not Animals,2013.0,0,5.0
17,tt1389096,Stand Up Guys,2012.0,0,6.5
18,tt0810913,Jack and Jill,2011.0,0,3.3
19,tt1535612,The Son of No One,2011.0,0,5.1
20,tt1132623,You Don't Know Jack,2010.0,2,7.6
21,tt1034331,Righteous Kill,2008.0,0,6.0
22,tt0496806,Ocean's Thirteen,2007.0,0,6.9
23,tt0411061,88 Minutes,2007.0,0,5.9
24,tt0417217,Two for the Money,2005.0,0,6.3
25,tt0379889,The Merchant of Venice,2004.0,0,7.0
26,tt0318997,Angels in America,2003.0,3,8.2
27,tt0299930,Gigli,2003.0,0,2.5
28,tt0292506,The Recruit,2003.0,0,6.6
29,tt0274711,People I Know,2002.0,0,5.5
30,tt0258153,S1m0ne,2002.0,0,6.1
31,tt0278504,Insomnia,2002.0,0,7.2
32,tt0118852,Chinese Coffee,2000.0,0,7.1
33,tt0146838,Any Given Sunday,1999.0,0,6.9
34,tt0140352,The Insider,1999.0,0,7.8
35,tt0118971,The Devil's Advocate,1997.0,0,7.5
36,tt0119008,Donnie Brasco,1997.0,0,7.7
37,tt0115907,City Hall,1996.0,0,6.2
38,tt0113277,Heat,1995.0,0,8.2
39,tt0114753,Two Bits,1995.0,0,6.2
