,mg_movie_href,mg_genre_id
0,tt1371129,7
0,tt15384508,1
0,tt11214590,19
1,tt11214590,7
0,tt7050946,7
0,tt7456722,19
1,tt7456722,18
2,tt7456722,7
0,tt1302006,19
1,tt1302006,20
2,tt1302006,7
0,tt7131622,2
1,tt7131622,7
0,tt2388986,19
1,tt2388986,20
2,tt2388986,7
0,tt3011960,19
1,tt3011960,18
2,tt3011960,7
0,tt5126922,20
1,tt5126922,7
0,tt3658772,19
1,tt3658772,18
2,tt3658772,7
0,tt1772288,2
1,tt1772288,20
2,tt1772288,7
0,tt2893490,7
0,tt1568343,2
1,tt1568343,11
2,tt1568343,7
0,tt3112900,7
0,tt1745862,8
1,tt1745862,20
2,tt1745862,7
0,tt1859476,2
1,tt1859476,7
0,tt1389096,19
1,tt1389096,2
2,tt1389096,1
0,tt0810913,2
0,tt1535612,19
1,tt1535612,9
2,tt1535612,7
0,tt1132623,20
1,tt1132623,7
0,tt1034331,19
1,tt1034331,18
2,tt1034331,7
0,tt0496806,19
1,tt0496806,1
0,tt0411061,19
1,tt0411061,18
2,tt0411061,7
0,tt0417217,19
1,tt0417217,6
2,tt0417217,7
0,tt0379889,11
1,tt0379889,7
0,tt0318997,11
1,tt0318997,23
2,tt0318997,7
0,tt0299930,19
1,tt0299930,2
2,tt0299930,11
0,tt0292506,1
1,tt0292506,9
0,tt0274711,19
1,tt0274711,7
0,tt0258153,0
1,tt0258153,2
2,tt0258153,7
0,tt0278504,1
1,tt0278504,18
2,tt0278504,7
0,tt0118852,7
0,tt0146838,6
1,tt0146838,7
0,tt0140352,1
1,tt0140352,20
2,tt0140352,7
0,tt0118971,1
1,tt0118971,18
2,tt0118971,7
0,tt0119008,19
1,tt0119008,20
2,tt0119008,7
0,tt0115907,19
1,tt0115907,18
2,tt0115907,7
0,tt0113277,19
1,tt0113277,9
2,tt0113277,7
0,tt0114753,7
0,tt0106519,19
1,tt0106519,1
2,tt0106519,7
0,tt0105323,7
0,tt0104348,19
1,tt0104348,18
2,tt0104348,7
0,tt0101912,2
1,tt0101912,11
2,tt0101912,7
0,tt0099674,19
1,tt0099674,7
0,tt0099422,19
1,tt0099422,2
2,tt0099422,9
0,tt0097769,7
0,tt0098273,19
1,tt0098273,18
2,tt0098273,7
0,tt0089913,7
1,tt0089913,24
2,tt0089913,13
0,tt0086250,19
1,tt0086250,7
0,tt0083598,2
1,tt0083598,17
2,tt0083598,7
0,tt0080569,19
1,tt0080569,18
2,tt0080569,7
0,tt0078718,19
1,tt0078718,1
2,tt0078718,7
0,tt0809488,19
1,tt0809488,1
2,tt0809488,7
0,tt0075774,11
1,tt0075774,7
0,tt0072890,19
1,tt0072890,20
2,tt0072890,7
0,tt0071562,19
1,tt0071562,7
0,tt0070666,19
1,tt0070666,20
2,tt0070666,7
0,tt0070643,7
0,tt0068646,19
1,tt0068646,7
0,tt0067549,7
0,tt0064651,2
1,tt0064651,7
0,tt0061282,19
1,tt0061282,7
0,tt10095582,24
1,tt10095582,1
2,tt10095582,7
0,tt10016180,19
1,tt10016180,18
2,tt10016180,7
0,tt3766354,19
1,tt3766354,1
2,tt3766354,9
0,tt6000478,19
1,tt6000478,1
2,tt6000478,7
0,tt2671706,7
0,tt2404435,12
1,tt2404435,9
2,tt2404435,13
0,tt0455944,19
1,tt0455944,1
2,tt0455944,9
0,tt1272878,19
1,tt1272878,2
2,tt1272878,9
0,tt1907668,1
1,tt1907668,7
0,tt1599348,1
1,tt1599348,9
0,tt0477080,1
1,tt0477080,9
0,tt1037705,7
1,tt1037705,9
2,tt1037705,13
0,tt1111422,19
1,tt1111422,1
2,tt1111422,9
0,tt0427309,11
1,tt0427309,20
2,tt0427309,7
0,tt0765429,19
1,tt0765429,20
2,tt0765429,7
0,tt0453467,19
1,tt0453467,9
2,tt0453467,0
0,tt0454848,19
1,tt0454848,18
2,tt0454848,7
0,tt0368008,0
1,tt0368008,18
2,tt0368008,7
